strain	TE	absence_detection	presence_detection	combination	read_number_absence	left_match_length	left_match_id	polyAT_left	left_coverage	left_repeat	left_read_number_presence	left_filtered_read_number_presence	right_match_length	right_match_id	polyAT_right	right_coverage	right_repeat	right_read_number_presence	right_filtered_read_number_presence
SRR2033160	FBti0019978	absent	present	polymorphic	5	60	100.00(0/60)		16.00		6	6	60	100.00(0/60)		17.49		9	9
SRR2033160	FBti0062980	present	present	present	0	60	100.00(0/60)		11.54		6	6	60	98.33(1/60)		11.79		5	5
SRR2033160	FBti0019654	absent	absent	absent	27	-1	0(0/0)		10.57	(GT)n	0	0	-1	0(0/0)		5.90		0	0
SRR2033160	FBti0020089	absent	present	polymorphic	6	60	100.00(0/60)		6.24		4	4	60	100.00(0/60)	poly(A)4	7.02		3	3
SRR2033160	FBti0059897		present	polymorphic		60	100.00(0/60)		30.98	Gypsy-23_DYa-I	15	15	60	100.00(0/60)		32.02		23	23
SRR2033160	FBti0062589		present	polymorphic		60	98.33(1/60)		37.92	DMRT1B	24	24	60	100.00(0/60)		31.42		23	23
SRR2033160	FBti0019410	present	present	present	0	60	100.00(0/60)		27.16		24	24	60	100.00(0/60)		11.99		5	5
SRR2033160	FBti0063947	present	present	present	0	60	100.00(0/60)		28.51		26	26	60	100.00(0/60)		21.74		15	15
SRR2033160	FBti0019446	absent	absent	absent	11	-8	0(0/0)		2.34		0	0	-6	0(0/0)		5.99		0	0
SRR2033160	FBti0064218	present	present	present	0	60	100.00(0/60)	poly(A)5	23.44	Gypsy-3_DBi-I	13	13	60	100.00(0/60)		12.57		9	9
SRR2033160	FBti0060160		present	polymorphic		60	100.00(0/60)		41.02		19	19	60	100.00(0/60)		19.80	Gypsy-7_DSim-LTR	16	16
SRR2033160	FBti0020147	present	present	present	0	60	100.00(0/60)		41.78		35	35	60	100.00(0/60)		38.36		21	21
SRR2033160	FBti0019304		present	polymorphic		60	100.00(0/60)		25.51		17	17	60	100.00(0/60)		26.61	Jockey-1_DYa	15	15
SRR2033160	FBti0019087	absent	present	polymorphic	6	60	100.00(0/60)		16.77		8	8	60	100.00(0/60)		15.32		5	5
SRR2033160	FBti0061486		present	polymorphic		60	100.00(0/60)		24.26	Gypsy12A_LTR	15	15	60	100.00(0/60)		7.43	Gypsy12A_LTR	3	3
SRR2033160	FBti0060895		present	polymorphic		60	100.00(0/60)		9.82		4	4	60	100.00(0/60)		23.66	DNAREP1_DYak	15	15
SRR2033160	FBti0020301		present	polymorphic		60	100.00(0/60)		10.49	(AT)n	11	11	60	100.00(0/60)		27.97	DNAREP1_DM	21	21
SRR2033160	FBti0019426	absent	present	polymorphic	1	60	100.00(0/60)		7.98		3	3	60	100.00(0/60)		4.71		1	1
SRR2033160	FBti0061396	present	present	present	0	60	100.00(0/60)		26.33		18	18	60	100.00(0/60)		27.95		11	11
SRR2033160	FBti0019384	absent	present	polymorphic	7	60	100.00(0/60)		13.98		8	8	60	100.00(0/60)		12.82		7	7
SRR2033160	FBti0063672	present	present	present	0	60	100.00(0/60)		6.69		4	4	60	100.00(0/60)		9.74		6	6
SRR2033160	FBti0061866	present	present	present	0	60	100.00(0/60)		12.57		7	7	60	100.00(0/60)		12.89		9	9
SRR2033160	FBti0019582	absent	present	polymorphic	1	60	100.00(0/60)		18.44		4	4	60	100.00(0/60)		9.62		11	11
SRR2033160	FBti0061994		present	polymorphic		60	98.33(1/60)		29.56		15	15	60	100.00(0/60)		17.94	DNAREP1_DYak	7	7
SRR2033160	FBti0019441	absent	absent	absent	22	-4	0(0/0)		6.81		0	0	-26	0(0/0)		3.74		0	0
SRR2033160	FBti0019529	present	present	present	0	60	100.00(0/60)		30.27		10	10	60	100.00(0/60)	poly(A)4	23.96		18	18
SRR2033160	FBti0019492		present	polymorphic		60	100.00(0/60)		10.86	DNAREP1_DSim	8	8	60	100.00(0/60)		7.61	DNAREP1_DSim	2	2
SRR2033160	FBti0019308	absent	present	polymorphic	3	60	100.00(0/60)		11.54		3	3	60	100.00(0/60)		8.15		4	4
SRR2033160	FBti0019745	absent	present	polymorphic	9	60	100.00(0/60)		11.79		7	7	60	100.00(0/60)		23.34		5	5
SRR2033160	FBti0062875	present	present	present	0	60	100.00(0/60)		23.03		17	17	60	100.00(0/60)		20.07		10	10
SRR2033160	FBti0060396		present	polymorphic		60	100.00(0/60)		21.37	DNAREP1_DSim	9	9	60	100.00(0/60)		16.02	DNAREP1_DSim	11	11
SRR2033160	FBti0019591	absent	present	polymorphic	2	60	100.00(0/60)		11.81	(TTTC)n	4	4	60	100.00(0/60)		8.01		2	2
SRR2033160	FBti0020024	absent	absent	absent	5	-7	0(0/0)		1.77		0	0	-12	0(0/0)		2.41		0	0
SRR2033160	FBti0019697	present	present	present	0	60	98.33(1/60)		34.79		15	15	60	100.00(0/60)		24.84		10	10
SRR2033160	FBti0019631	absent	present	polymorphic	4	60	100.00(0/60)		6.91		5	5	60	100.00(0/60)		1.52	(G)n	2	2
SRR2033160	FBti0019449	present	present	present	0	60	100.00(0/60)		5.02		1	1	60	100.00(0/60)		15.88		3	3
SRR2033160	FBti0059790	present	present	present	0	60	100.00(0/60)		22.39		16	16	60	98.33(1/60)		26.11		18	18
SRR2033160	FBti0020130	absent	present	polymorphic	9	60	100.00(0/60)		9.87		6	6	60	100.00(0/60)		8.56		1	1
SRR2033160	FBti0062854	present	present	present	0	60	100.00(0/60)		14.22	(ATTTTC)n	7	7	60	100.00(0/60)		19.47		8	8
SRR2033160	FBti0063255	present	present	present	0	60	100.00(0/60)		22.91		16	16	60	100.00(0/60)		32.31		16	16
SRR2033160	FBti0019438	absent	present	polymorphic	5	60	100.00(0/60)		7.65		3	3	60	100.00(0/60)		17.31		7	7
SRR2033160	FBti0061630	present	present	present	0	60	100.00(0/60)		17.49	(ATGAAT)n	5	5	60	100.00(0/60)		24.86		14	14
SRR2033160	FBti0019373	absent	present	polymorphic	4	60	100.00(0/60)		9.21		7	7	27	100.00(0/30)	poly(A)5	2.84		0	0
SRR2033160	FBti0062069	present	present	present	0	60	100.00(0/60)		27.64	(TTG)n	19	19	60	100.00(0/60)		30.23		20	20
SRR2033160	FBti0062311	present	present	present	0	60	100.00(0/60)		22.22		14	14	60	100.00(0/60)		22.42		10	10
SRR2033160	FBti0019511		present	polymorphic		60	100.00(0/60)		11.68	(T)n	7	7	60	100.00(0/60)		16.40	DNAREP1_DSim	13	13
SRR2033160	FBti0061615	present	present	present	0	60	100.00(0/60)		17.47		9	9	60	100.00(0/60)		10.59	(TTATATT)n	9	9
SRR2033160	FBti0019378	present	present	present	0	60	100.00(0/60)		8.48		0	0	60	100.00(0/60)		5.97		5	5
SRR2033160	FBti0019458	absent	present	polymorphic	12	60	100.00(0/60)		13.00		8	8	60	100.00(0/60)		18.47		9	9
SRR2033160	FBti0018940	present	present	present	0	60	100.00(0/60)		5.99	(TATAT)n	1	1	60	100.00(0/60)		17.37		5	5
SRR2033160	FBti0020164	absent	present	polymorphic	3	-30	0(0/0)		0.00	A-rich	0	0	60	100.00(0/60)		10.99		6	6
SRR2033160	FBti0019583	present	present	present	0	60	100.00(0/60)		16.51		7	7	-7	0(0/0)	poly(A)4	6.66		0	0
SRR2033160	FBti0019040	absent	present	polymorphic	3	60	100.00(0/60)		10.85	(AT)n	5	5	60	100.00(0/60)		16.29		8	8
SRR2033160	FBti0018947	absent	absent	absent	19	0	0(0/0)		11.30		0	0	-4	0(0/0)		7.44		0	0
SRR2033160	FBti0060360	present	present	present	0	60	98.33(1/60)		21.04		14	14	60	98.33(1/60)		23.21		16	16
SRR2033160	FBti0063759	present	present	present	0	60	100.00(0/60)		31.77		32	32	60	100.00(0/60)		32.06		13	13
SRR2033160	FBti0061399	present	present	present	0	60	100.00(0/60)		21.69		15	15	60	98.33(1/60)		20.74		13	13
SRR2033160	FBti0019090	present	present	present	0	60	100.00(0/60)		24.35		12	12	60	100.00(0/60)		23.73		9	9
SRR2033160	FBti0062912	present	present	present	0	60	100.00(0/60)		18.43		9	9	60	100.00(0/60)		13.03		4	4
SRR2033160	FBti0061008	present	present	present	0	60	100.00(0/60)	poly(A)4	15.94		7	7	60	100.00(0/60)		17.63		10	10
SRR2033160	FBti0020093	present	present	present	0	60	100.00(0/60)		4.70	A-rich	3	3	60	100.00(0/60)		6.01		2	2
SRR2033160	FBti0019466	absent	present	polymorphic	4	60	100.00(0/60)		10.55		2	2	60	100.00(0/60)		16.34		10	10
SRR2033160	FBti0060865	present	present	present	0	60	100.00(0/60)		24.54		19	19	60	100.00(0/60)		22.43		13	13
SRR2033160	FBti0061612	present	present	present	0	60	100.00(0/60)		10.54		7	7	60	100.00(0/60)		25.69		16	16
SRR2033160	FBti0060722		present	polymorphic		60	100.00(0/60)		17.99	Gypsy-36_DEl-I	10	10	60	100.00(0/60)		21.16	Gypsy-36_DEl-I	17	17
SRR2033160	FBti0019524	absent	present	polymorphic	11	60	100.00(0/60)		15.89		8	8	60	100.00(0/60)		15.30		8	8
SRR2033160	FBti0019000	absent	present	polymorphic	11	60	100.00(0/60)		16.89		9	9	60	100.00(0/60)		8.02		2	2
SRR2033160	FBti0060604		present	polymorphic		60	98.33(1/60)		19.82		10	10	60	100.00(0/60)		16.12	P-1_DY	8	8
SRR2033160	FBti0063618	present	present	present	0	60	100.00(0/60)		18.66	Gypsy10-I_Dya	9	9	60	100.00(0/60)		23.34		15	15
SRR2033160	FBti0061808	present	present	present	0	60	100.00(0/60)		25.08		15	15	60	100.00(0/60)		23.68	(AATAG)n	13	13
SRR2033160	FBti0061740		present	polymorphic		60	100.00(0/60)		8.13		4	4	59	96.61(2/59)		13.19	hAT-1_DSi	8	8
SRR2033160	FBti0019985	absent	present	polymorphic	7	60	100.00(0/60)		15.16		12	12	60	100.00(0/60)		14.21		7	7
SRR2033160	FBti0018946		absent	no_data		-5	0(0/0)		10.69	Gypsy-22_DWil-I	0	0	-3	0(0/0)		12.84	Jockey-3_DGri	0	0
SRR2033160	FBti0062261	present	present	present	0	60	100.00(0/60)		14.57		15	15	60	100.00(0/60)		17.12		11	11
SRR2033160	FBti0061529	present	present	present	0	60	100.00(0/60)		22.81		21	21	60	100.00(0/60)		20.16		9	9
SRR2033160	FBti0061894		present	polymorphic		60	100.00(0/60)		12.96	Helitron-N1_DBi	3	3	60	100.00(0/60)		10.82	(TCATAAT)n	6	6
SRR2033160	FBti0019081	present	present	present	0	60	100.00(0/60)		33.15		13	13	60	100.00(0/60)		14.95		7	7
SRR2033160	FBti0060081		present	polymorphic		60	100.00(0/60)		28.86	BEL-4_DEl-LTR	14	14	60	100.00(0/60)		30.68	Harbinger1_DYa	19	19
SRR2033160	FBti0059794	present	absent	no_data	0	-19	0(0/0)	poly(A)7	2.84		0	0	-5	0(0/0)		6.67		0	0
SRR2033160	FBti0019540	absent	present	polymorphic	12	60	100.00(0/60)		14.55		11	11	60	100.00(0/60)		11.46		6	6
SRR2033160	FBti0062412		present	polymorphic		60	98.33(1/60)		18.84	DNAREP1_DYak	16	16	60	100.00(0/60)		27.07		21	21
SRR2033160	FBti0019174	present	present	present	0	31	100.00(0/31)	poly(A)27	6.28	(T)n	0	0	60	100.00(0/60)		22.18		13	13
SRR2033160	FBti0019461	present	present	present	0	60	100.00(0/60)		10.09		6	6	60	100.00(0/60)		9.90		3	3
SRR2033160	FBti0064169		present	polymorphic		60	100.00(0/60)		31.70	BEL-4_DEu-I	21	21	60	100.00(0/60)		33.11		11	11
SRR2033160	FBti0019847		present	polymorphic		60	100.00(0/60)		32.87		24	24	60	100.00(0/60)		25.23	Helitron-N1_DEl	12	12
SRR2033160	FBti0019627	absent	present	polymorphic	7	60	100.00(0/60)		24.26		14	14	60	100.00(0/60)		20.78		11	11
SRR2033160	FBti0020406	present	present	present	0	60	100.00(0/60)		10.54		5	5	60	100.00(0/60)		27.77	REP-1_DTa	20	20
SRR2033160	FBti0019844	present	present	present	0	60	100.00(0/60)		16.70		5	5	60	100.00(0/60)		11.29		4	4
SRR2033160	FBti0059983	present	present	present	0	60	100.00(0/60)		14.47		6	6	60	100.00(0/60)		24.38		6	6
SRR2033160	FBti0019313	absent	absent	absent	14	0	0(0/0)		5.96		0	0	-1	0(0/0)		6.33		0	0
SRR2033160	FBti0019109	absent	present	polymorphic	3	60	100.00(0/60)		13.35		15	15	60	100.00(0/60)		15.74		10	10
SRR2033160	FBti0061565	present	present	present	0	60	98.33(1/60)		31.87		23	23	60	96.67(2/60)		35.68		20	20
SRR2033160	FBti0062632	present	present	present	0	60	100.00(0/60)		26.22		17	17	60	100.00(0/60)		24.77		18	18
SRR2033160	FBti0020091	present	present	present	0	60	100.00(0/60)		12.47		5	5	60	100.00(0/60)		25.52		15	15
SRR2033160	FBti0018978		present	polymorphic		60	100.00(0/60)		10.97	Gypsy-47_DEl-I	3	3	60	100.00(0/60)		14.13		7	7
SRR2033160	FBti0019442	absent	absent	absent	3	-1	0(0/0)		5.72		0	0	7	100.00(0/8)		5.95		0	0
SRR2033160	FBti0019614	absent	present	polymorphic	6	60	100.00(0/60)		14.07		3	3	60	100.00(0/60)		6.99		3	3
SRR2033160	FBti0019305	absent	present	polymorphic	5	60	100.00(0/60)		8.18		3	3	60	100.00(0/60)		14.46		10	10
SRR2033160	FBti0018873	absent	present	polymorphic	4	60	100.00(0/60)		12.92		6	6	60	100.00(0/60)		14.56		6	6
SRR2033160	FBti0018968	absent	present	polymorphic	2	60	100.00(0/60)		6.14		1	1	60	100.00(0/60)		6.33		4	4
SRR2033160	FBti0063779	present	present	present	0	60	100.00(0/60)		16.72		10	10	60	98.33(1/60)		16.29		9	9
SRR2033160	FBti0062664	present	present	present	0	60	100.00(0/60)		14.11	(A)n	12	12	60	98.33(1/60)		19.51		11	11
SRR2033160	FBti0061789	present	present	present	0	60	100.00(0/60)		36.95		14	14	60	100.00(0/60)		33.23		24	24
SRR2033160	FBti0061857		present	polymorphic		60	100.00(0/60)		5.05		0	0	60	100.00(0/60)		9.62	DNAREP1_DYak	10	10
SRR2033160	FBti0063747	present	present	present	0	60	100.00(0/60)		8.86		3	3	60	100.00(0/60)		10.12		6	6
SRR2033160	FBti0060094	present	present	present	0	60	100.00(0/60)		40.35		17	17	60	100.00(0/60)		20.96		11	11
SRR2033160	FBti0061549	present	present	present	0	60	100.00(0/60)		8.45		3	3	60	100.00(0/60)		15.18		10	10
SRR2033160	FBti0060562	present	present	present	0	60	100.00(0/60)		30.53		22	22	60	100.00(0/60)		28.90		23	23
SRR2033160	FBti0019028	absent	present	polymorphic	1	60	100.00(0/60)		7.18		5	5	60	100.00(0/60)		12.18		9	9
SRR2033160	FBti0019448	absent	present	polymorphic	9	60	100.00(0/60)		11.41		5	5	26	100.00(0/33)	poly(A)5	8.18		0	0
SRR2033160	FBti0019346	present	present	present	0	60	100.00(0/60)		19.88	(ATATAC)n	11	11	60	100.00(0/60)		21.48		12	12
SRR2033160	FBti0063214	present	present	present	0	60	100.00(0/60)		22.54		14	14	60	100.00(0/60)		18.63		13	13
SRR2033160	FBti0019480	present	present	present	0	60	100.00(0/60)		23.22		14	14	60	100.00(0/60)		10.22		9	9
SRR2033160	FBti0019939		present	polymorphic		60	100.00(0/60)		20.79	Jockey-1_DK	12	12	60	100.00(0/60)		25.28	Jockey-1_DK	15	15
SRR2033160	FBti0019884	present	present	present	0	60	100.00(0/60)		18.59		12	12	60	100.00(0/60)		27.36		16	16
SRR2033160	FBti0059936	present	present	present	0	60	96.67(2/60)		17.21		13	13	60	100.00(0/60)		28.93		8	8
SRR2033160	FBti0060173	present	present	present	0	60	100.00(0/60)		15.91	(ATATA)n	13	13	60	100.00(0/60)		21.94		17	17
SRR2033160	FBti0062393		present	polymorphic		60	100.00(0/60)		30.56		18	18	60	100.00(0/60)		23.57	Gypsy-13_DRh-I	18	18
SRR2033160	FBti0020021	absent	present	polymorphic	4	40	100.00(0/41)		3.92		0	0	60	100.00(0/60)		10.14		4	4
SRR2033160	FBti0061174	present	present	present	0	60	100.00(0/60)		28.84		12	12	60	100.00(0/60)		28.29		15	15
SRR2033160	FBti0020013		present	polymorphic		60	100.00(0/60)		5.51	DM412B_LTR	2	2	60	100.00(0/60)		14.19		3	3
SRR2033160	FBti0063758	present	present	present	0	60	100.00(0/60)		31.75		29	29	60	100.00(0/60)		16.27		10	10
SRR2033160	FBti0019259		present	polymorphic		60	100.00(0/60)		14.98	Gypsy-1_DRh-I	9	9	60	100.00(0/60)		13.23	Gypsy6A_LTR	8	8
SRR2033160	FBti0018972	present	present	present	0	60	100.00(0/60)		10.33	(TTA)n	9	9	60	100.00(0/60)		13.43		2	2
SRR2033160	FBti0062416		present	polymorphic		60	100.00(0/60)		17.98	Gypsy-1_DSim-I	12	12	60	100.00(0/60)		28.26	PROTOP_B	13	13
SRR2033160	FBti0019396	present	present	present	0	60	100.00(0/60)		11.01		8	8	60	100.00(0/60)		13.59		7	7
SRR2033160	FBti0059892		present	polymorphic		60	100.00(0/60)		31.28		18	18	60	100.00(0/60)		26.57	BEL-3_DEl-I	13	13
SRR2033160	FBti0020010	absent	present	polymorphic	5	60	100.00(0/60)		24.99		12	12	60	100.00(0/60)		9.89		8	8
SRR2033160	FBti0059666	present	present	present	0	60	100.00(0/60)		15.38		4	4	60	98.33(1/60)		25.07		13	13
SRR2033160	FBti0062871		present	polymorphic		60	100.00(0/60)		20.21		5	5	60	100.00(0/60)		19.50	Gypsy-1_DSim-I	10	10
SRR2033160	FBti0018971	present	present	present	0	60	100.00(0/60)		10.12		3	3	60	100.00(0/60)		16.42	Helitron-N1_DBi	7	7
SRR2033160	FBti0060480		present	polymorphic		60	98.33(1/60)		24.95	DNAREP1_DSim	18	18	60	100.00(0/60)		27.20		15	15
SRR2033160	FBti0020034	present	present	present	0	60	100.00(0/60)		7.22		2	2	60	100.00(0/60)		7.79		9	9
SRR2033160	FBti0020131	absent	present	polymorphic	4	60	100.00(0/60)		14.51		6	6	60	100.00(0/60)		12.29		4	4
SRR2033160	FBti0019721	present	present	present	0	59	100.00(0/59)		15.96		5	5	60	100.00(0/60)		14.36		12	12
SRR2033160	FBti0020295	present	present	present	0	60	100.00(0/60)		29.77		8	8	60	100.00(0/60)		32.11		15	15
SRR2033160	FBti0061107	present	present	present	0	60	100.00(0/60)		33.61		31	31	60	100.00(0/60)		27.01		14	14
SRR2033160	FBti0019608	absent	present	polymorphic	4	60	100.00(0/60)		6.84		2	2	60	100.00(0/60)		9.61		3	3
SRR2033160	FBti0020308	present	present	present	0	60	100.00(0/60)		13.12	(TTTA)n	7	7	60	100.00(0/60)		27.09		4	4
SRR2033160	FBti0018962	present	present	present	0	60	100.00(0/60)		13.54		8	8	60	100.00(0/60)		14.01		10	10
SRR2033160	FBti0060630		present	polymorphic		60	100.00(0/60)		7.47	DNAREP1_DM	4	4	60	100.00(0/60)		13.69		6	6
SRR2033160	FBti0020064	absent	present	polymorphic	9	60	100.00(0/60)		8.61		8	8	60	100.00(0/60)		13.54		3	3
SRR2033160	FBti0060472		present	polymorphic		60	100.00(0/60)		13.76		4	4	60	100.00(0/60)		16.38	DNAREP1_DM	3	3
SRR2033160	FBti0019544	absent	present	polymorphic	13	60	100.00(0/60)		19.27		13	13	60	100.00(0/60)		25.68		18	18
SRR2033160	FBti0061842		present	polymorphic		60	98.33(1/60)		21.48	Jockey-10_DRh	10	10	60	98.33(1/60)		18.59		9	9
SRR2033160	FBti0059986	present	present	present	0	60	100.00(0/60)		16.36		17	17	60	100.00(0/60)	poly(A)4	20.79		12	12
SRR2033160	FBti0061733		present	polymorphic		60	100.00(0/60)		30.93	hAT-2_DY	21	21	60	100.00(0/60)		25.96		20	20
SRR2033160	FBti0061581	present	present	present	0	60	96.67(2/60)		14.28		7	7	60	95.00(3/60)		19.46		10	10
SRR2033160	FBti0062660		present	polymorphic		60	100.00(0/60)		20.65	Gypsy-1_DSim-I	17	17	60	100.00(0/60)		13.13	Gypsy-1_DSim-I	5	5
SRR2033160	FBti0019072		absent	no_data		-3	0(0/0)		3.56	(GCATTT)n	0	0	0	0(0/0)		2.53		0	0
SRR2033160	FBti0020440	present	present	present	0	60	100.00(0/60)		14.09		8	8	60	100.00(0/60)		29.90		11	11
SRR2033160	FBti0060979		present	polymorphic		60	100.00(0/60)		20.30	HOBO	9	9	60	100.00(0/60)		19.19	hAT-2_DY	12	12
SRR2033160	FBti0019428	absent	present	polymorphic	9	25	100.00(0/25)	poly(A)8	4.59		0	0	60	100.00(0/60)		2.52	(A)n	3	3
SRR2033160	FBti0020054	absent	absent	absent	11	0	0(0/0)		2.92		0	0	0	0(0/0)		3.91		0	0
SRR2033160	FBti0020209	absent	present	polymorphic	10	60	100.00(0/60)		14.48		9	9	60	100.00(0/60)		13.82		5	5
SRR2033160	FBti0019842		present	polymorphic		60	100.00(0/60)		15.49		9	9	60	100.00(0/60)		16.02	DNAREP1_DSim	9	9
SRR2033160	FBti0019605	present	present	present	0	60	98.33(1/60)		12.44		4	4	60	96.67(2/60)		19.49		5	5
SRR2033160	FBti0020095	absent	present	polymorphic	9	60	100.00(0/60)		12.94		4	4	60	100.00(0/60)		4.77		1	1
SRR2033160	FBti0061137	present	present	present	0	60	100.00(0/60)		34.44		17	17	60	100.00(0/60)		19.31		20	20
SRR2033160	FBti0062063		present	polymorphic		60	100.00(0/60)		30.30	Jockey-1_DSe	13	13	60	100.00(0/60)		29.13		17	17
SRR2033160	FBti0064254		present	polymorphic		60	98.33(1/60)		25.20	Jockey-6_DEu	13	13	60	100.00(0/60)		16.38		10	10
SRR2033160	FBti0063260		present	polymorphic		60	100.00(0/60)		16.41	Gypsy-2_DSe-I	10	10	60	100.00(0/60)		27.54	Gypsy-2_DSe-I	15	15
SRR2033160	FBti0019213	present	present	present	0	60	100.00(0/60)		10.86		0	0	60	100.00(0/60)		11.61		5	5
SRR2033160	FBti0019204	absent	present	polymorphic	3	60	100.00(0/60)		13.89		9	9	43	97.73(1/44)		5.31	(CCA)n	0	0
SRR2033160	FBti0060836		present	polymorphic		60	100.00(0/60)		9.36	PROTOP_B	6	6	60	100.00(0/60)		6.21		2	2
SRR2033160	FBti0018917	absent	present	polymorphic	7	60	100.00(0/60)		11.78		9	9	60	100.00(0/60)	poly(A)4	4.84		2	2
SRR2033160	FBti0018908	present	present	present	0	60	98.33(1/60)		23.96		15	15	60	100.00(0/60)		99.71	Gypsy-2_DAn-I	40	40
SRR2033160	FBti0061749	present	present	present	0	60	100.00(0/60)		41.58		32	32	60	100.00(0/60)		28.81		26	26
SRR2033160	FBti0060238		present	polymorphic		60	100.00(0/60)		24.73	DNAREP2_DSim	13	13	60	100.00(0/60)		28.68		17	17
SRR2033160	FBti0019425	absent	present	polymorphic	4	60	100.00(0/60)		22.66		6	6	60	100.00(0/60)		16.84		0	0
SRR2033160	FBti0020161		present	polymorphic		60	96.67(2/60)		13.19		10	10	60	100.00(0/60)		27.31	Helitron-N1_DBi	19	19
SRR2033160	FBti0018916	absent	present	polymorphic	3	60	100.00(0/60)		14.75		8	8	34	100.00(0/34)	poly(A)4	5.74		0	0
SRR2033160	FBti0061547	present	present	present	0	60	95.00(3/60)		30.39		23	23	60	95.00(3/60)		34.37		15	15
SRR2033160	FBti0019633	absent	present	polymorphic	5	31	100.00(0/31)		3.61		1	1	60	100.00(0/60)		10.88		5	5
SRR2033160	FBti0019498	present	present	present	0	60	100.00(0/60)		11.92		3	3	60	98.33(1/60)		20.08		13	13
SRR2033160	FBti0019755	present	present	present	0	60	95.00(3/60)		14.24		16	16	60	100.00(0/60)		7.79		8	8
SRR2033160	FBti0064117		present	polymorphic		60	100.00(0/60)		16.29	Jockey-6_DVi	12	12	60	96.67(2/60)		24.76		18	18
SRR2033160	FBti0020179	absent	present	polymorphic	2	60	100.00(0/60)		17.12		6	6	60	100.00(0/60)		9.54		3	3
SRR2033160	FBti0019360	absent	present	polymorphic	5	60	100.00(0/60)		8.31		4	4	60	100.00(0/60)		14.18	(AATTCA)n	12	12
SRR2033160	FBti0020191	present	present	present	0	60	100.00(0/60)		15.41		9	9	60	100.00(0/60)		9.76		2	2
SRR2033160	FBti0019656	present	present	present	0	60	100.00(0/60)		23.15		13	13	60	100.00(0/60)		17.74		9	9
SRR2033160	FBti0019412	absent	present	polymorphic	11	60	100.00(0/60)		11.57		7	7	60	100.00(0/60)		7.08		3	3
SRR2033160	FBti0019530	present	present	present	0	60	100.00(0/60)		33.56		26	26	60	100.00(0/60)		39.39		8	8
SRR2033160	FBti0019180	present	present	present	0	60	100.00(0/60)		14.28		7	7	60	100.00(0/60)		10.59		5	5
SRR2033160	FBti0020282	present	present	present	0	60	100.00(0/60)		30.42		22	22	60	100.00(0/60)		35.07		24	24
SRR2033160	FBti0060736	present	present	present	0	60	100.00(0/60)		33.12		17	17	60	100.00(0/60)		22.99	A-rich	16	16
SRR2033160	FBti0020026	absent	present	polymorphic	3	37	100.00(0/37)		8.14		5	5	60	100.00(0/60)		4.82		2	2
SRR2033160	FBti0063753	present	present	present	0	60	95.00(3/60)		20.67		11	11	60	95.00(3/60)		21.26		7	7
SRR2033160	FBti0019053	present	present	present	0	-1	0(0/0)		1.98	(TA)n	0	0	38	100.00(0/38)		2.97		1	1
SRR2033160	FBti0020173		present	polymorphic		60	100.00(0/60)		31.02	Jockey-1_DYa	23	23	60	100.00(0/60)		20.54	(TATA)n	11	11
SRR2033160	FBti0061092		present	polymorphic		60	100.00(0/60)		45.70	BEL2-I_Dya	35	35	60	100.00(0/60)		42.11	BEL-5_DYa-I	27	27
SRR2033160	FBti0061173		present	polymorphic		60	100.00(0/60)		12.38	Gypsy-1_DSim-I	9	9	60	100.00(0/60)		12.60	Gypsy-1_DSim-I	9	9
SRR2033160	FBti0060097		present	polymorphic		49	100.00(0/60)		7.29	(TA)n	0	0	60	100.00(0/60)		30.27	Gypsy-8_DBi-I	15	15
SRR2033160	FBti0020293		present	polymorphic		60	100.00(0/60)		9.69		8	8	60	98.33(1/60)		22.38	BEL-4_DFi-I	10	10
SRR2033160	FBti0019113	absent	present	polymorphic	3	60	100.00(0/60)		15.78		3	3	60	100.00(0/60)		8.80		5	5
SRR2033160	FBti0018891	present	present	present	0	60	100.00(0/60)		8.62		3	3	60	100.00(0/60)		13.71		8	8
SRR2033160	FBti0061783	present	present	present	0	60	100.00(0/60)		28.59		22	22	60	100.00(0/60)		27.48		20	20
SRR2033160	FBti0064232	present	present	present	0	60	100.00(0/60)		17.30		13	13	60	100.00(0/60)		18.57		13	13
SRR2033160	FBti0019044	absent	present	polymorphic	8	60	100.00(0/60)		21.14		9	9	60	100.00(0/60)		16.06		9	9
SRR2033160	FBti0060998		present	polymorphic		60	100.00(0/60)		23.39		17	17	60	100.00(0/60)		27.32	BEL-3_DVir-I	13	13
SRR2033160	FBti0064157		present	polymorphic		60	100.00(0/60)		29.29		22	22	60	100.00(0/60)		31.50	Gypsy6-LTR_Dya	28	28
SRR2033160	FBti0020436	present	present	present	0	60	100.00(0/60)		13.88		5	5	60	100.00(0/60)		16.56		8	8
SRR2033160	FBti0019545	absent	present	polymorphic	7	60	100.00(0/60)		12.14		2	2	60	100.00(0/60)		12.70		9	9
SRR2033160	FBti0060463	present	present	present	0	60	100.00(0/60)		23.11		22	22	60	100.00(0/60)		20.20		11	11
SRR2033160	FBti0020062	absent	present	polymorphic	6	60	100.00(0/60)		10.00		5	5	60	100.00(0/60)		13.96		4	4
SRR2033160	FBti0019619	absent	present	polymorphic	6	60	100.00(0/60)		17.05		9	9	60	100.00(0/60)		16.02		15	15
SRR2033160	FBti0018926	present	present	present	0	60	100.00(0/60)		7.76		2	2	60	100.00(0/60)		7.82		5	5
SRR2033160	FBti0019546	absent	present	polymorphic	1	60	100.00(0/60)		10.51		7	7	60	100.00(0/60)		15.32		10	10
